,,,"NOTA 
AUTO-EVALUADA 
POR ALUMNO","NOTA 
EVALUADA 
PROFE",OBSERVACIONES (Opcional)
,,NOTA MÁXIMA,"(RELLENAR SOLO 
ESTA COLUMNA
Y la de Observaciones)",,
1)Menú inicio.,Menú siempre visible.,"0,2",,,
,Inicio sesión:, ,,,
, - Ocultación de contraseña en inicio sesión.,"0,1",,,
, - Comprobación de campos en inicio sesión.,"0,1",,,
, - Comprobación de usuario (consulta a la base de datos).,"0,4",,,
,Acceso administrador:, ,,,
, - Ocultación de contraseña en acceso administrador.,"0,1",,,
, - Comprobación acceso administrador (sin acceso a base de datos).,"0,1",,,
2) Administrar usuarios.  ,Menú siempre visible.,"0,2",,,
,Nuevo usuario:, ,,,
, - Validación de campos.,"0,2",,,
, - Inserción en la BD.,"0,2",,,
,Modificar usuario:, ,,,
, - Selección de usuario.,"0,2",,,
, - Mostrar datos de usuario (editables).,"0,2",,,
, - Validación de campos.,"0,2",,,
, - Guardar cambios en los datos del usuario.,"0,2",,,
,Borrar usuario:, ,,,
, - Selección de usuario.,"0,2",,,
, - Mostrar datos de usuario (no editables).,"0,2",,,
, - Eliminar usuario de la base de datos.,"0,2",,,
,Salir,"0,1",,,
3) Gestión Movimientos.,Nombre completo del usuario.,"0,2",,,
,Menú siempre visible.,"0,2",,,
,Últimos movimientos:, ,,,
, - Últimos 10 movimientos.,"0,2",,,
, - Formato dinero.,"0,2",,,
, - Tabla completa.,"0,3",,,
,Ingresos, ,,,
, - Validación de campos.,"0,2",,,
, - Inserción en la BD.,"0,2",,,
, - Mensaje de ingreso correcto y visualización de los últimos 10 movimientos.,"0,1",,,
,Gastos, ,,,
, - Validación de campos.,"0,2",,,
, - Inserción en la BD.,"0,2",,,
, - Mensaje de gasto correcto y visualización de los últimos 10 movimientos.,"0,1",,,
,Eliminar movimientos, ,,,
, - Listar sólo los del usuario.,"0,4",,,
, - Eliminarlos individualmente de la BD.,"0,2",,,
, - Mensaje de ejecución correcta y visualización de los nuevos movimientos del usuario.,"0,2",,,
,Salir,"0,1",,,
General,Conexión/desconexión y acceso a la base de datos.,"0,5",,,
,Correcta navegación entre páginas.,"0,2",,,
,Control de errores mediante excepciones.,1,,,
,"Estructuración del código (uso de funciones, uso de páginas, inclusión de ficheros externos, documentación del código, variables intuitivas, optimización,…).","0,2",,,
,Página de AUTOEVALUACIÓN Y CAPTURAS,2,,,
,"Otros errores (restar 0,2 por error)",0,,,
TOTAL (AUTO),,10,0,0,
